Deals,Industry Type,Issuance Type,Target Raise,Amount Raised,Location
EFF Ventures,Agriculture,STO,$10M,$30M,Denmark
YAD Capital,Private Equity,Equity,$5M,$5M,Israel
Intercom,Software,Convertible Note,$600K,$250K,Belgium
Komp,Other,Other,$500K,$1M,Thailand
CarbonV,Healthcare,Equity,$2M,$500K,Thailand
EasyHash,Fintech,Cash,$80K,$50K,Bangladesh
FundMyLife,FinTech,Other,$250K,$600K,United States
SnapStrat,Software,Other,$1M,$500K,Sweden
Jenfi,Finance,Equity,$1.2M,$1.5M,Mexico
Votus,Software,Common Stock,$100K,$1M,Poland
Thematics Robotics,Technology,Other,$3M,$5M,Afghanistan
RoboMart,Technology,Other,$5M,$800K,France
Declare,Consumer Goods,Convertible Note,$1M,$565K,France
CountablePro,Internet,Other,$2M,$1M,Indonesia
KoinStreet,Information Technology,Equity,$250K,$100K,India
Kale United,Consumer Goods,Other,€345K,€750K,Turkey
ALECA,Software,Equity,$1.5M,$2.4M,United Kingdom
Mode Cold Brew,Consumer Goods,Other,$573K,$1.4M,Iran
Lullame,Consumer Goods,Other,€1M,€3M,Spain
BCASTER,Internet,Other,€700K,€600K,South Africa
VidFlow,Software,Other,€500K,€150K,Denmark
HubSpot,SaaS,Equity ,$20M,$100.5M,Bangladesh
Automate.io,SaaS,Equity ,$200K,$150K,Afghanistan
Iterable,Internet,Equity ,$2M,$142.2M,Canada
Coffee meets Bagel,Social Media,Investment Fund,$500K,$8.4M,Mexico
Usabilla,Analytics,Convertible Note,$50K,$1M,Singapore
InstaMojo,E-Commerce,Convertible Note,$1M,$10.1M,Ireland
Ritual,Mobile,Investment Fund,$2M,$113.1M,Spain
InVision,Internet,Debt,$1.5M,$134.1M,Ireland
Status,FinTech,Equity ,$6M,$100M,New Zealand
Ducksuite,Software,Investment Fund,$15M,$200M,Sweden
Agriloka,Agriculture,Convertible Note,$2M,$20M,United States
Fashionalia,Fashion,Debt,$9M,$40M,India
Progda Oy/Ltd,Sports,Debt,$7M,$50M,Singapore
Sensie,Healthcare,Equity ,$10M,$100M,United States
Omnicoach,Software,Common Stock,$4M,$30M,South Africa
Nagricoin,Agriculture,Other,$8.5M,$20M,Sweden
Foodlocker,E-Commerce,Equity ,$4M,$50M,South Africa
Votemo,Media and Entertainment,Equity,$1M,$15M,Australia
"FreightPal, Inc.",Maritime,Debt,$500K,$2M,Denmark
Wefinup,Fintech,STO,$50K,$800K,Australia
Africa Delivery Technologies,Delivery ,Investment Fund,$2.5M,$4M,South Africa
Fursan,Telecommunications,Convertible Note,$850K,$1M,Afghanistan
Origen Air,Biotechnology,Convertible Note,$670K,$2M,Malaysia
reNature,Agriculture,Other,$150K,$4M,Malaysia
THE INITIATIVE TRUST,Financial Services,Equity ,$200K,$3M,Denmark
Dealjoy,Business Products,Debt,$10M,$6M,France
Neahtid,Industrial,Equity ,$615K,$9M,Israel
Vibbio,Marketing,Equity,$5M,$12M,Thailand
Ring of Fire Centers,Travel,Investment Fund,$800K,$3M,Ireland
TEM TROCO,Financial Services,Investment Fund,$7M,$4M,Bangladesh
Vetchat,Healthcare,Convertible Note,$1M,$1M,Belgium
NOUQ,Consumer Products,Common Stock,$400K,$900K,Canada
Vibing,Software,Common Stock,$800K,$700K,Afghanistan
Djinn Sensor,Business Products,Cash,$15K,$50K,Iran
APTAH BIOINFORMATICS,Biotechnology,Debt,$4M,$20M,Belgium
Holos Ltd.,Consumer Products,Investment Fund,$8M,$40M,Australia
idealgap,Software,Debt ,$260K,$100M,United Kingdom
OCRM Network,Media and Entertainment,Investment Fund,$5M,$30M,Sweden
Eternal Trusts,Fintech,Equity ,$3M,$20M,India
Lamaara technologies ,CleanTech,Equity ,$850K,$1M,Turkey
Lightr,Business Products,Debt ,$12M,$2M,United States
Krystal Ice Limited,Consumer Products,STO ,$88K,$400K,Iran
AirJetBook,Travel,Convertible Note,$100K,$40K,Indonesia
"See Mama Bee, LLC",Mobile,Equity ,$150K,$800K,Thailand
Facestore,Internet,Debt ,$3M,$5M,South Africa
Bethereum Limited,Gaming,Investment Fund,$5M,$20M,Malaysia
BYON8 Corp.,Healthcare,Equity ,$450K,$4M,Israel
GlucoActive,Healthcare,Debt,$200K,$4M,Belgium
Nexit Limited,Consumer Products,STO ,$50K,$2M,South Africa
Plutus Rent,Real Estate,STO,$1M,$2M,Malaysia
Libra Project,Industrial,Investment Fund,$2.5M,$5M,Turkey
Sunlight General Trading ,Business Products,Investment Fund,$1M,$10M,Thailand
Silver Swift Drinks,Food and Beverage,Investment Fund,$300K,$8M,Malaysia
Killy,Travel,Investment Fund,$250K,$7M,Mexico
Spacehuntr,Travel,Equity,$100K,$1M,Thailand
Liip,Biotechnology,Equity,$450K,$3M,China
Amplify Mart,Construction,Equity,$10M,$60M,United States
Acsendo,Internet,Convertible Note,$3M,$40M,Israel
Aquadiary Network,Internet,Convertible Note,$4M,$10M,Canada
Gham Power,CleanTech,Convertible Note,$6M,$4M,Iran
Knara's Startup,Travel,Convertible Note,$40K,$2M,Sweden
Five Goal SAS,Software,Debt,$350K,$2M,Poland
Investidea.d.o.o. Beograd,Internet,Debt,$6M,$30M,Turkey
Drawfolio,Internet,Debt,$9M,$20M,Denmark
InstaFit,Healthcare,Debt,$400K,$2M,Israel
"Abom, Inc.",HealthTech,Debt,$3M,$10M,Bangladesh
PageSeal,Internet,Cash,$5K,$40K,India
SKYTANGO,Construction,Cash,$80K,$300K,Sweden
RSV Properties (Pty)Ltd,Real Estate,Cash,$10K,$2M,Sweden
Nordic Adventours,Travel,Cash,$20K,$400K,Ireland
Nazava Water Filters,Clean Technology,Cash,$50K,$2M,Afghanistan
Letcetra Agritech,Agriculture,Cash,$350K,$2M,France
Tribu News,Other,Common Stock,$800K,$2M,Indonesia
UI-licious,Software,Common Stock,$1M,$5M,Canada
CHATTIGO,Business Services,Common Stock,$3M,$5M,United Kingdom
Copenhagen Industries,Media and Entertainment,Common Stock,$8M,$9M,Poland
Otimizi,Business Products,Equity ,$2M,$4M,Iran
Flype,Internet,STO,$1M,$500K,Australia
Ampt Animal Inc.,Consumer Descretionary,STO,$882K,$2M,Singapore
Ampulse,Information Technology,Equity,$881K,$5M,South Africa
Ampush,Industrial,Equity,$492K,$1M,Israel
AMPY,Utilities,Convertible Note,$981K,$4M,Thailand
Amras Venture,Utilities,Convertible Note,$918K,$1M,United States
AMResorts,Real Estate,STO,$909K,$5M,Mexico
Amrest,Industrial,Equity,$117K,$8M,South Africa
Amrit Advanced Biotech,Consumer Staples,Debt,$894K,$4M,Canada
Amromco Energy,Materials,Debt,$793K,$3M,South Africa
ams AG,Healthcare,Equity,$966K,$3M,Belgium
AMS-Qi,Healthcare,Convertible Note,$113K,$3M,Malaysia
AMS Sciences,Communication Services,Convertible Note,$709K,$2M,Iran
AMS VariCode,Consumer Descretionary,Debt,$761K,$5M,Bangladesh
AmSafe,Industrial,Debt,$50K,$1M,Malaysia
